mario : ('Qc', '7s'). Ai : ('Ks', '5c')Floop: ['Kh', 'Js', 'Ah']. 
mario : ('7c', '9h'). Ai : ('Ad', '5h'). Floop: ['6s', '6d', '10h']. 
mario : ('6s', 'Qd'). Ai : ('10h', 'Jc'). Floop: ['Qc', '9c', '4s']. 
mario : ('Jc', 'Ah'). Ai : ('4h', '5d'). Floop: ['Ac', '4s', 'Ks']. 
mario : ('Jc', '7h'). Ai : ('4d', '2h'). Floop: ['5s', 'Jh', '2d']. 
mario : ('Jd', '2s'). Ai : ('5h', '10s'). Floop: ['4d', '8d', '2d']. 
mario : ('Qh', 'Ks'). Ai : ('Qs', 'Kd'). Floop: ['5s', '7h', 'Jh']. 
mario : ('Kh', '10h'). Ai : ('8d', 'Ks'). Floop: ['4c', 'Jd', '5d']. 
mario : ('Ks', 'Ad'). Ai : ('Qc', '3h'). Floop: ['Kc', 'Jd', '4c']. 
mario : ('2h', '3c'). Ai : ('2c', 'Ac'). Floop: ['Kd', '9c', '6s']. 
mario : ('7c', '4s'). Ai : ('9c', 'Js'). Floop: ['Qd', 'Jd', '5c']. 
mario : ('Ad', '2c'). Ai : ('4h', '2d'). Floop: ['Qd', '10s', '4c']. 
mario : ('6d', '9s'). Ai : ('2s', 'Qs'). Floop: ['10d', '8d', 'Ac']. 
mario : ('5c', 'Qs'). Ai : ('5d', '7s'). Floop: ['Qc', '2d', '6s']. 
mario : ('5c', '4c'). Ai : ('7s', 'Jd'). Floop: ['2h', '2c', '9c']. 
mario : ('4c', '10d'). Ai : ('Kd', '2d'). Floop: ['10c', 'Kh', 'Ad']. 
mario : ('10d', '9s'). Ai : ('Qs', '4h'). Floop: ['2d', '9h', 'Kh']. 
mario : ('3h', '9d'). Ai : ('10c', '6c'). Floop: ['Kd', 'Jc', '5s']. 
mario : ('Js', '9s'). Ai : ('6s', 'Kc'). Floop: ['5h', '5c', '7c']. 
mario : ('9c', '6s'). Ai : ('Js', '5s'). Floop: ['4d', '3s', '2c']. 
mario : ('Qc', '8d'). Ai : ('Jh', '10c'). Floop: ['Jd', '3d', '6h']. 
mario : ('8c', 'Ah'). Ai : ('Qh', '10h'). Floop: ['7h', '2c', '7c']. 
mario : ('Qh', 'Qc'). Ai : ('7s', '10c'). Floop: ['8h', '4c', '4d']. 
mario : ('7c', '8d'). Ai : ('6d', '7s'). Floop: ['Ah', 'Qc', 'Qd']. 
mario : ('3h', '4h'). Ai : ('10d', '6h'). Floop: ['Qd', '10h', '7c']. 
mario : ('Qh', 'Ac'). Ai : ('Jc', '5h'). Floop: ['7s', 'Kd', 'Kc']. 
mario : ('7d', '7s'). Ai : ('8c', 'Jd'). Floop: ['Ad', '8d', 'Qc']. 
mario : ('4c', 'Qc'). Ai : ('Jd', '4s'). Floop: ['4d', '3h', '10s']. 
mario : ('5c', 'Kh'). Ai : ('3s', '10s'). Floop: ['9d', '2h', '10d']. 
mario : ('8d', '2d'). Ai : ('Js', '2c'). Floop: ['Jc', 'Kh', 'Ac']. 
mario : ('7h', '6s'). Ai : ('2s', 'Jh'). Floop: ['8s', '4s', 'Qs']. 
nario : ('Kd', 'Jh'). Ai : ('7d', '2c'). Floop: ['6c', '4c', '10s']. 
mario : ('9c', 'Ac'). Ai : ('8c', '8d'). Floop: ['Ad', '3s', '5d']. 
mario : ('8h', '9h'). Ai : ('4h', 'Js'). Floop: ['6d', '5d', 'Jh']. 
mario : ('9h', 'Jd'). Ai : ('Jc', '6h'). Floop: ['Kd', '10s', 'Kh']. 
mario : ('10h', '6d'). Ai : ('Kh', 'Js'). Floop: ['3c', '7h', 'Qc']. 
mario : ('7c', 'Ah'). Ai : ('Ks', 'Kh'). Floop: ['8s', '4s', '8c']. 
mario : ('5c', '5h'). Ai : ('10c', '3s'). Floop: ['Js', 'Ac', '9d']. 
mario : ('8s', '8h'). Ai : ('5d', '5h'). Floop: ['2h', '2c', 'Qs']. 
mario : ('7s', '7c'). Ai : ('9h', '2c'). Floop: ['Ks', '2d', '8d']. 
mario : ('10c', 'Qh'). Ai : ('4d', 'Jd'). Floop: ['4h', '5s', 'Qd']. 
mario : ('5h', '5s'). Ai : ('7h', '7s'). Floop: ['9d', 'Qh', '4s']. 
mario : ('8d', '2c'). Ai : ('5h', '2h'). Floop: ['Qc', '2d', 'Jh']. 
mario : ('4h', 'As'). Ai : ('10c', 'Ks'). Floop: ['Kh', '6h', '4c']. 
mario : ('8h', '5d'). Ai : ('9s', '4s'). Floop: ['6h', '2h', 'Ks']. 
mario : ('7d', '9h'). Ai : ('As', '10h'). Floop: ['Kd', '10s', '9s']. 
start : ('Kd', '10c'). Ai : ('Js', '9d'). Floop: ['9h', '6h', '7s']. 
start : ('8h', '4s'). Ai : ('Jh', 'Qh'). Floop: ['8d', '5c', '4d']. 
start : ('As', '7s'). Ai : ('8c', '4d'). Floop: ['3h', '8d', 'Ah']. 
start : ('3h', '5c'). Ai : ('3s', 'Qd'). Floop: ['2d', 'Js', '7s']. 
start : ('4h', '2d'). Ai : ('8s', '9s'). Floop: ['Qh', '7d', '6h']. 
start : ('4c', 'Ks'). Ai : ('2h', '6d'). Floop: ['6c', 'Qd', '10d']. 
start : ('8c', '9d'). Ai : ('Qd', '10d'). Floop: ['As', '10c', 'Qh']. 
start : ('4d', '3c'). Ai : ('Jd', '2h'). Floop: ['8c', 'Jh', 'Kc']. 
start : ('5h', '8s'). Ai : ('2s', '6s'). Floop: ['4c', '9s', '4s']. 
start : ('10h', 'Js'). Ai : ('6c', '8s'). Floop: ['5h', 'Qd', '8h']. 
start : ('5d', '4d'). Ai : ('6s', '4h'). Floop: ['3d', 'As', 'Qs']. 
start : ('5h', '2s'). Ai : ('5s', '10c'). Floop: ['Qh', '8c', '10s']. 
start : ('Ad', '8h'). Ai : ('9s', 'Kd'). Floop: ['4h', '10h', '8c']. 
start : ('5h', '10h'). Ai : ('7d', '4d'). Floop: ['10c', '6h', '8s']. 
start : ('5h', '7h'). Ai : ('Qc', 'Ks'). Floop: ['Jh', '6s', 'Ac']. 
start : ('Ad', 'Ac'). Ai : ('Jd', '7d'). Floop: ['As', '8d', '8s']. 
start : ('6c', '10s'). Ai : ('2s', '5d'). Floop: ['3s', 'Kd', '8s']. 
start : ('2c', 'Ad'). Ai : ('2h', '6s'). Floop: ['5d', 'Js', '7d']. 
start : ('2s', '6h'). Ai : ('4c', '9h'). Floop: ['Ad', '6s', 'Kd']. 
start : ('8h', 'Js'). Ai : ('6d', '9h'). Floop: ['Jd', '7c', '4h']. 
start : ('7d', '6h'). Ai : ('4h', 'Ks'). Floop: ['2c', 'Jc', '2d']. 
start : ('Qc', '5h'). Ai : ('8c', 'As'). Floop: ['Jd', 'Ah', '4s']. 
start : ('3h', '5s'). Ai : ('4s', 'Js'). Floop: ['Kh', '2s', '5d']. 
start : ('10d', '7h'). Ai : ('5h', '2h'). Floop: ['Js', '4h', '9h']. 
start : ('4h', '10s'). Ai : ('3d', '3c'). Floop: ['9d', '8c', '5s']. 
start : ('3c', '4d'). Ai : ('Qc', '5d'). Floop: ['10h', '4h', 'Js']. 
start : ('3s', 'Jd'). Ai : ('10h', '10d'). Floop: ['Kh', 'Qs', '2d']. 
start : ('2c', '7c'). Ai : ('2d', '3c'). Floop: ['4s', '10d', '5s']. 
start : ('4d', '9c'). Ai : ('Jh', 'Js'). Floop: ['Kd', '2h', '7c']. 
start : ('3c', '3h'). Ai : ('8c', 'Qh'). Floop: ['Js', '2h', 'Ac']. 
start : ('Qc', 'Jd'). Ai : ('4c', '6s'). Floop: ['2h', 'Qd', 'Js']. 
start : ('9d', '9h'). Ai : ('2d', '5c'). Floop: ['7d', '9c', 'Ad']. 
start : ('6c', 'Kc'). Ai : ('4d', '2d'). Floop: ['9h', 'Jc', '7d']. 
start : ('7d', '9s'). Ai : ('5h', '8h'). Floop: ['Js', '6c', 'Ad']. 
start : ('Kd', '2s'). Ai : ('Qc', 'Qs'). Floop: ['As', '7h', '9h']. 
start : ('5d', 'Jh'). Ai : ('Jc', '3d'). Floop: ['8h', '9c', '3h']. 
start : ('3h', '3s'). Ai : ('6s', 'Qs'). Floop: ['9d', '7c', 'Jh']. 
start : ('Qs', '3h'). Ai : ('Qh', 'Qd'). Floop: ['6s', '3d', 'Ac']. 
start : ('Qs', 'Qh'). Ai : ('Ks', 'Qc'). Floop: ['3s', 'Qd', '6c']. 
start : ('As', '3h'). Ai : ('7s', '8d'). Floop: ['7h', '6h', 'Ac']. 
start : ('Qd', 'Qh'). Ai : ('Ac', '6c'). Floop: ['5s', '10s', 'As']. 
start : ('6d', 'Jd'). Ai : ('Qc', '9d'). Floop: ['8h', 'Ks', 'Jc']. 
start : ('Ah', '3d'). Ai : ('5h', 'Qs'). Floop: ['7c', 'Ad', '3h']. 
start : ('5d', '5c'). Ai : ('Qs', '10d'). Floop: ['2c', 'Kd', '7d']. 
start : ('6s', '5h'). Ai : ('2c', '5d'). Floop: ['8s', 'Ac', '3h']. 
start : ('9c', '10s'). Ai : ('Ad', 'Qh'). Floop: ['5s', 'Jd', '8d']. 
start : ('7s', '3s'). Ai : ('9h', '6s'). Floop: ['5c', '3d', 'Kd']. 
start : ('9h', '4h'). Ai : ('Qh', '8d'). Floop: ['10h', '5d', 'Kd']. 
start : ('7s', '5c'). Ai : ('8h', 'Ac'). Floop: ['Js', '10h', '10c']. 
start : ('8d', 'Qd'). Ai : ('5c', '4d'). Floop: ['7d', 'Ah', '4h']. 
start : ('10h', 'Kh'). Ai : ('9c', '2s'). Floop: ['2d', '6s', 'Qd']. 
start : ('4d', '10c'). Ai : ('5d', '9h'). Floop: ['9s', 'Qc', 'Jd']. 
start : ('9h', '5c'). Ai : ('10s', '4c'). Floop: ['7d', '10d', '4d']. 
start : ('Qd', 'Ah'). Ai : ('8d', '8h'). Floop: ['3d', '4s', 'Js']. 
start : ('Qd', '10s'). Ai : ('Qs', 'Jh'). Floop: ['5h', '9c', '10d']. 
start : ('Jd', '10d'). Ai : ('2s', '6d'). Floop: ['2c', '7c', 'Qc']. 
start : ('Qc', '5d'). Ai : ('As', '3c'). Floop: ['4d', '6s', '10s']. 
start : ('6h', 'Jd'). Ai : ('8c', '3d'). Floop: ['Js', '9h', '10s']. 
start : ('Kc', '10c'). Ai : ('Qh', '8d'). Floop: ['3d', '9s', 'Qs']. 
start : ('10d', '6s'). Ai : ('7s', '7h'). Floop: ['Ah', '6h', 'Ad']. 
start : ('5d', '7s'). Ai : ('3d', '10c'). Floop: ['Jd', '8h', 'Ad']. 
start : ('7s', '5h'). Ai : ('Jc', '6c'). Floop: ['Kd', '8h', '10d']. 
start : ('3d', '4d'). Ai : ('5d', 'Ac'). Floop: ['Jh', '4h', 'Ah']. 
start : ('10s', '4s'). Ai : ('5d', 'Jh'). Floop: ['Ah', 'Qs', '4h']. 
start : ('7d', '9d'). Ai : ('2c', '5h'). Floop: ['8d', '3s', 'Kc']. 
start : ('4s', '10s'). Ai : ('5s', '2s'). Floop: ['8s', '4h', '6c']. 
start : ('2h', '7c'). Ai : ('Jd', '5c'). Floop: ['9s', '5d', '8c']. 
start : ('6c', 'Jc'). Ai : ('9s', 'Kh'). Floop: ['Qc', '4s', '5h']. 
start : ('6d', '7s'). Ai : ('10c', 'Qc'). Floop: ['Jd', '4c', '5h']. 
start : ('8h', 'Ad'). Ai : ('Ac', '4c'). Floop: ['Kh', 'Jc', '8s']. 
start : ('3h', '7s'). Ai : ('Ah', 'Kh'). Floop: ['8c', 'Js', 'Kc']. 
start : ('8h', '7s'). Ai : ('3h', '4d'). Floop: ['10s', 'Ah', '5s']. 
start : ('4d', 'Qd'). Ai : ('8s', '6d'). Floop: ['2s', '8d', '2c']. 
start : ('2h', '2c'). Ai : ('7s', '8h'). Floop: ['5s', 'Js', '10s']. 
start : ('9d', '9s'). Ai : ('7c', '2h'). Floop: ['6s', '4h', '2c']. 
start : ('7d', '9c'). Ai : ('Js', 'Qs'). Floop: ['Kc', '6d', 'Kh']. 
start : ('Ah', 'Kd'). Ai : ('Qc', 'Qh'). Floop: ['Ad', 'Jh', '8s']. 
start : ('As', '10d'). Ai : ('3s', 'Kc'). Floop: ['4c', 'Ad', '8h']. 
start : ('5c', 'As'). Ai : ('Jh', '4d'). Floop: ['4c', '5h', '9h']. 
start : ('5c', '6s'). Ai : ('Kc', '6h'). Floop: ['As', '3h', '3s']. 
start : ('4h', 'Ah'). Ai : ('4c', '5c'). Floop: ['10h', '7d', 'Jd']. 
start : ('2c', 'Qh'). Ai : ('8d', '9c'). Floop: ['8c', '10d', '7d']. 
start : ('10s', '4s'). Ai : ('8h', '5c'). Floop: ['9c', '7d', '9s']. 
start : ('6s', '3h'). Ai : ('9d', '2d'). Floop: ['Ah', '2c', '4d']. 
start : ('Ah', '6s'). Ai : ('8d', '9s'). Floop: ['2d', '6d', '7s']. 
start : ('10d', '5h'). Ai : ('Jh', '8h'). Floop: ['10h', '8s', 'Js']. 
start : ('Qd', '9d'). Ai : ('Kd', '10h'). Floop: ['4c', 'Jc', '8s']. 
start : ('7d', '9s'). Ai : ('Kc', '10s'). Floop: ['7c', 'Kd', 'Js']. 
start : ('Jd', '6d'). Ai : ('9d', 'Ks'). Floop: ['Jc', 'Qc', '2c']. 
start : ('8d', '2d'). Ai : ('2s', '7d'). Floop: ['7h', 'Kc', '8h']. 
start : ('Ad', '4h'). Ai : ('Qc', '8d'). Floop: ['Jh', '5h', '10d']. 
start : ('9h', 'Ad'). Ai : ('2d', 'Kh'). Floop: ['4h', '6h', '3h']. 
start : ('10d', '3s'). Ai : ('Ac', 'Jh'). Floop: ['Ad', '6c', '8c']. 
start : ('5s', '2s'). Ai : ('Jh', 'Qh'). Floop: ['10h', '7d', '10s']. 
start : ('2c', '4d'). Ai : ('Kc', 'As'). Floop: ['4h', 'Ah', 'Qd']. 
start : ('2h', '5s'). Ai : ('8d', '3c'). Floop: ['Qh', '5d', '9h']. 
start : ('Kc', '3h'). Ai : ('8c', 'Jh'). Floop: ['6s', 'Ad', 'Qs']. 
start : ('Jd', 'Jc'). Ai : ('Qs', '8d'). Floop: ['5h', '2d', '4h']. 
start : ('7s', 'Ac'). Ai : ('2s', '3d'). Floop: ['6h', '3c', '6s']. 
start : ('4h', '4c'). Ai : ('3h', 'Ks'). Floop: ['7s', 'Kc', '10s']. 
start : ('Qc', '8s'). Ai : ('Js', 'Ah'). Floop: ['9h', '7c', '7s']. 
start : ('8h', '2d'). Ai : ('5c', '8c'). Floop: ['As', '9d', '6d']. 
start : ('As', 'Kc'). Ai : ('8d', '7s'). Floop: ['Qs', 'Jc', '9d']. 
start : ('6h', '6d'). Ai : ('2d', 'Ac'). Floop: ['5c', '4h', '10c']. 
start : ('Kh', '10d'). Ai : ('8c', '6c'). Floop: ['4d', '7c', '2h']. 
start : ('4h', 'Js'). Ai : ('10d', '9h'). Floop: ['2d', 'Qc', '5d']. 
start : ('5c', '9s'). Ai : ('5d', '8c'). Floop: ['Qh', '6s', '4c']. 
start : ('2s', 'Kc'). Ai : ('Qh', '3h'). Floop: ['Kh', 'Ah', '5c']. 
start : ('Jh', '9h'). Ai : ('6c', 'Ah'). Floop: ['As', '7c', '7d']. 
start : ('7d', '7h'). Ai : ('Jh', '7c'). Floop: ['4h', '5h', '3d']. 
start : ('10c', '2d'). Ai : ('Qc', '3s'). Floop: ['Ad', 'Kd', '9d']. 
start : ('4d', '8d'). Ai : ('10s', '6h'). Floop: ['Jc', '3d', '8c']. 
start : ('Qc', '9s'). Ai : ('Jh', 'Kd'). Floop: ['Js', '9c', '6c']. 
start : ('Kh', 'Ac'). Ai : ('2s', '4s'). Floop: ['4d', '5s', '4c']. 
start : ('9s', '5s'). Ai : ('7h', 'Js'). Floop: ['4h', 'Qc', 'Ac']. 
start : ('3h', '3c'). Ai : ('10h', '6d'). Floop: ['3s', 'Kc', '5s']. 
start : ('Qh', '3h'). Ai : ('4h', '4c'). Floop: ['Ac', 'Jh', '7c']. 
start : ('9s', '7s'). Ai : ('9h', 'Kc'). Floop: ['2h', 'Ah', '8d']. 
start : ('8s', '7c'). Ai : ('6h', '5c'). Floop: ['2d', '3c', 'Ac']. 
start : ('3s', '10c'). Ai : ('10s', '5d'). Floop: ['9h', '4s', 'Kd']. 
start : ('7h', 'Js'). Ai : ('Jc', '10d'). Floop: ['3c', '9h', '2d']. 
start : ('2s', 'Ad'). Ai : ('3h', '9h'). Floop: ['Ah', 'Kc', '7d']. 
start : ('Qh', 'Ac'). Ai : ('4c', '10d'). Floop: ['9d', 'Kc', 'Jh']. 
start : ('3s', '8c'). Ai : ('Jd', 'Ah'). Floop: ['9s', 'Qc', '6c']. 
start : ('Ac', 'Ah'). Ai : ('4h', '5h'). Floop: ['Qc', '10c', 'Kc']. 
start : ('Qs', '9h'). Ai : ('Ah', '6h'). Floop: ['Ac', '6s', '8h']. 
start : ('9h', '2c'). Ai : ('6c', '8c'). Floop: ['5d', 'Kc', 'Qh']. 
start : ('2c', '9h'). Ai : ('3s', '6s'). Floop: ['Jd', '5s', 'Ks']. 
start : ('Qc', '4h'). Ai : ('2h', 'Kh'). Floop: ['6d', 'Qs', '3s']. 
start : ('Jh', '8s'). Ai : ('Kh', '10s'). Floop: ['4s', '6h', 'Qc']. 
start : ('10s', '4s'). Ai : ('9s', 'Ad'). Floop: ['6s', '7h', '9h']. 
start : ('4c', 'Qc'). Ai : ('5c', 'Ah'). Floop: ['8d', '7d', '3h']. 
start : ('4s', '2c'). Ai : ('Ac', 'Kh'). Floop: ['5c', '4d', '6d']. 
 : ('8s', 'Qd'). Ai : ('Jh', '7h'). Floop: ['Js', 'Ad', '9c']. 
start : ('5h', '3c'). Ai : ('4c', '7h'). Floop: ['10h', '10d', '10s']. 
start : ('5d', 'Qh'). Ai : ('5s', '8s'). Floop: ['2c', '6h', 'Kd']. 
start : ('Jc', '3s'). Ai : ('Qd', '2h'). Floop: ['Jh', '5d', 'Qh']. 
start : ('9d', 'Ah'). Ai : ('9h', '7s'). Floop: ['Js', '6s', 'Kd']. 
start : ('Kc', '8c'). Ai : ('4c', '3c'). Floop: ['9s', 'Ah', 'Ad']. 
start : ('5d', 'As'). Ai : ('8c', '8h'). Floop: ['8d', 'Qd', '4h']. 
start : ('7h', '8s'). Ai : ('10h', '2d'). Floop: ['8c', '6c', '5s']. 
start : ('Kh', '4s'). Ai : ('10c', '2h'). Floop: ['Jh', '9d', '5h']. 
start : ('Qc', '9c'). Ai : ('8d', '7d'). Floop: ['10s', '6c', '4c']. 
start : ('6c', '10s'). Ai : ('9d', '5h'). Floop: ['2d', 'Jc', 'Js']. 
start : ('Jc', '5d'). Ai : ('6s', '2c'). Floop: ['Ah', '10s', 'Js']. 
start : ('3c', '9d'). Ai : ('7s', '10c'). Floop: ['Kd', '3h', '7d']. 
start : ('Ac', '8c'). Ai : ('Jc', 'Qh'). Floop: ['Jh', '8s', 'Qs']. 
start : ('Kd', '2c'). Ai : ('Kc', '10h'). Floop: ['2d', 'Qh', '10c']. 
start : ('6h', '2c'). Ai : ('5s', '2d'). Floop: ['8h', '9h', '5d']. 
start : ('9s', 'As'). Ai : ('2h', '6h'). Floop: ['6c', '7c', '9d']. 
start : ('3d', '8s'). Ai : ('10s', '5h'). Floop: ['4s', 'Ac', '5c']. 
start : ('Kd', 'Ac'). Ai : ('4d', '5c'). Floop: ['9s', 'Ks', 'Qs']. 
start : ('Jc', '7d'). Ai : ('Ad', '10h'). Floop: ['Ac', '6d', '4h']. 
start : ('Kd', 'Ad'). Ai : ('Qh', '3c'). Floop: ['6s', '10d', 'Jh']. 
start : ('Jd', '5c'). Ai : ('Jh', '8s'). Floop: ['9d', '4d', 'Jc']. 
start : ('9s', '6h'). Ai : ('10d', 'Qh'). Floop: ['2s', '8h', 'Qc']. 
start : ('10d', '8h'). Ai : ('7c', '3c'). Floop: ['Jc', '3s', 'Kh']. 
start : ('Kd', '9h'). Ai : ('Jc', '6d'). Floop: ['Ah', '10d', '6s']. 
start : ('6c', '8d'). Ai : ('Ac', 'Kc'). Floop: ['6h', 'Ah', 'Js']. 
start : ('2d', '9h'). Ai : ('2h', '6s'). Floop: ['As', 'Kh', '9s']. 
start : ('3c', '6s'). Ai : ('8d', '3s'). Floop: ['5d', 'Js', 'Ac']. 
start : ('4d', '6d'). Ai : ('Jc', '8c'). Floop: ['Jh', 'Qd', '8h']. 
start : ('Ad', '9h'). Ai : ('Ah', '3s'). Floop: ['4c', '5h', 'Jh']. 
start : ('6c', '4h'). Ai : ('Qh', '9c'). Floop: ['9d', '2h', 'Jd']. 
start : ('2c', '3d'). Ai : ('8s', '8h'). Floop: ['10d', '4c', '8c']. 
start : ('10c', '8c'). Ai : ('6s', '5s'). Floop: ['9h', '7d', '3d']. 
start : ('5d', 'Kc'). Ai : ('Jc', '2c'). Floop: ['8d', '10d', '5c']. 
start : ('7d', '6h'). Ai : ('Kd', '6d'). Floop: ['4h', '6c', '3h']. 
start : ('Qs', '8s'). Ai : ('6s', '7c'). Floop: ['2c', '3d', '8d']. 
start : ('4c', 'Kd'). Ai : ('5h', '6d'). Floop: ['3h', '6c', '5s']. 
start : ('7s', '8c'). Ai : ('Jh', '2c'). Floop: ['Qs', '4c', 'Qd']. 
start : ('Kc', 'Kd'). Ai : ('Ac', '4h'). Floop: ['4s', '8c', '4c']. 
start : ('10s', 'Jc'). Ai : ('7s', '2c'). Floop: ['5d', '7c', '8c']. 
start : ('4s', '3h'). Ai : ('9h', '7h'). Floop: ['4h', 'Ac', 'Jh']. 
start : ('As', '3s'). Ai : ('2d', '8c'). Floop: ['2s', '5h', '7d']. 
start : ('8s', '3h'). Ai : ('3s', '4s'). Floop: ['Ah', '3d', '10c']. 
start : ('2c', 'Ac'). Ai : ('6h', 'Ad'). Floop: ['3d', 'Kd', '5h']. 
start : ('9d', '4h'). Ai : ('2d', '4d'). Floop: ['Kd', '7d', '10c']. 
start : ('Jh', '5d'). Ai : ('8c', '4s'). Floop: ['6c', '7h', 'Js']. 
start : ('5h', '4s'). Ai : ('2s', '2c'). Floop: ['10h', '7h', 'Qh']. 
start : ('2c', '9s'). Ai : ('8s', '2s'). Floop: ['4d', '6c', '7s']. 
start : ('10h', '6s'). Ai : ('Kc', '3d'). Floop: ['2h', '5s', 'Ad']. 
start : ('7c', '8d'). Ai : ('4h', '3h'). Floop: ['6c', 'Qh', '9c']. 
start : ('9s', 'Jh'). Ai : ('3c', '2s'). Floop: ['9h', '2d', '7d']. 
start : ('3s', '9d'). Ai : ('4c', 'Kh'). Floop: ['3d', '6s', '10h']. 
start : ('3h', 'Ah'). Ai : ('Kh', '5d'). Floop: ['3d', 'Kd', '10c']. 
start : ('Ad', '4d'). Ai : ('4c', '3h'). Floop: ['Qc', '3d', 'Qh']. 
start : ('9h', '8c'). Ai : ('4c', '4s'). Floop: ['Jc', '4h', '2s']. 
start : ('Kd', '2s'). Ai : ('6c', 'Ad'). Floop: ['7h', 'Qc', 'Js']. 
start : ('10s', 'Jh'). Ai : ('4h', '3c'). Floop: ['Kd', 'Ac', 'Ah']. 
start : ('2d', '9c'). Ai : ('9d', 'Ks'). Floop: ['Js', '7c', 'Qd']. 
start : ('Ac', '8d'). Ai : ('Js', '9c'). Floop: ['7d', 'Ks', 'Ah']. 
start : ('As', '8s'). Ai : ('Kh', '3c'). Floop: ['7d', 'Qd', 'Jh']. 
start : ('2s', 'Qs'). Ai : ('9d', 'Ks'). Floop: ['8h', 'Jd', '3d']. 
start : ('9c', '9h'). Ai : ('7d', '5h'). Floop: ['Jd', '4s', '6d']. 
start : ('8c', '2c'). Ai : ('Qc', '2s'). Floop: ['2d', '5c', 'Kh']. 
start : ('7c', 'Ks'). Ai : ('9h', '8h'). Floop: ['4s', '7h', '6s']. 
start : ('10s', '5s'). Ai : ('3h', '4c'). Floop: ['5d', 'Kd', '6h']. 
start : ('6h', 'Js'). Ai : ('9d', '7s'). Floop: ['As', 'Ks', 'Qd']. 
start : ('8d', '4d'). Ai : ('Qd', '8c'). Floop: ['3s', 'Ad', 'Kh']. 
